Ticker,Company Name,Field,Info,Address,Website
AAV,CTCP Việt Tiên Sơn Địa ốc,Bán buôn hàng tiêu dùng,"Công ty Cổ phần Việt Tiên Sơn Địa Ốc (AAV) được thành lập vào năm 2010. Công ty hoạt động trong lĩnh vực đầu tư xây dựng và kinh doanh bất động sản, kinh doanh thực phẩm đông lạnh, du lịch lữ hành và sản xuất kinh doanh thuốc đông nam dược, thực phẩm chức năng. AAV trở thành công ty đại chúng từ năm 2017. AAV được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ năm 2018.",Tòa nhà Việt Tiên Sơn - Khu dân cư phía Đông đường Yết Kiêu - P. Cộng Hòa - Tp. Chí Linh - T. Hải Dương,http://www.viettienson.com
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,"Bán buôn các thiết bị, vật tư chuyên môn và thương mại","CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ (AMV) được thành lập năm 2002 bởi 3 cổ đông sáng lập với số vốn điều lệ ban đầu là 15 tỷ đồng. Lĩnh vực hoạt động chủ yếu của Công ty bao gồm kinh doanh dược phẩm, mua bán trang thiết bị y tế, dụng cụ và hóa chất xét nghiệm y tế; sản xuất, kinh doanh vaccine, sinh phẩm y tế; kinh doanh địa ốc; đầu tư tài chính. AMV là doanh nghiệp đầu tiên trong nước sản xuất dòng sản phẩm ""sinh phẩm chẩn đoán nhanh"" với công nghệ cho kết quả xét nghiệm trong từ 1-25 phút với độ chính xác lên tới 99-99.9%.",Lầu 4 Tòa nhà Phú Mã Dương Số 85 Hoàng Văn Thái - P. Tân Phú - Q. 7 - Tp. HCM,http://amvibiotech.com/
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Xây dựng và Bất động sản,"CTCP Đầu tư Châu Á - Thái Bình Dương (API) được thành lập năm 2006 với vốn điều lệ 22.95 tỷ đồng. Ngành nghề chính của Công ty là công nghiệp phát triển và vận hành bất động sản. Các lĩnh vực hoạt động của Công ty bao gồm: tư vấn lập và quản lý dự án đầu tư (không bao gồm dịch vụ thiết kế công trình, tư vấn pháp luật và tài chính); dịch vụ môi giới, xúc tiến thương mại; dịch vụ tổ chức sự kiện, hội nghị, hội thảo, triển lãm; dịch vụ quan hệ công chúng; quảng cáo thương mại và phi thương mại. Một số dự án nổi bật của API có thể kể tới như Khu đô thị AZURA (Thái Nguyên), Dự án chợ Tam Đa (Hà Nội), Khu đô thị Bàn Thành - Anh Nhơn - Bình Định, Dự án Khu đô thị tại thành phố Hà Nam.",Tầng 3 Tòa nhà Grand Plaza - Số 117 Trần Duy Hưng - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,https://apeci.com.vn/
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,Tài chính và bảo hiểm,"CTCP Chứng khoán Châu Á - Thái Bình Dương (APS) là công ty chứng khoán thứ 37 được cấp phép hoạt động vào năm 2006 với vốn điều lệ là 60 tỷ đồng. Công ty cung cấp dịch vụ môi giới chứng khoán, dịch vụ lưu ký và cả tự doanh chứng khoán. Ngoài ra, APS cũng tham gia tư vấn đầu tư chứng khoán và dịch vụ nghiên cứu thị trường, dịch vụ quản lý tài chính và dịch vụ tư vấn tài chính cho các sự kiện của công ty như cổ phần hóa, chào bán cổ phần, niêm yết và đấu giá. Công ty đang quản lý hơn 32,000 tài khoản của khách hàng trên cả nước, tập trung chủ yếu tại Hà Nội, Huế, Đà Nẵng và thành phố Hồ Chí Minh. APS có chi nhánh tại 4 tỉnh thành phố lớn và hệ thống 42 đại lý trên cả nước. ","Tầng 3 toà nhà Grand Plaza, số 117 Trần Duy Hưng - P. Trung Hoà - Q. Cầu Giấy - Hà Nội",http://www.apec.com.vn
ART,CTCP Chứng khoán BOS,Tài chính và bảo hiểm,"CTCP Chứng khoán Artex (ART) được thành lập năm 2008 với vốn điều lệ 135 tỷ đồng. Các ngành nghề chính của Công ty là môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán và lưu ký chứng khoán. Tháng 9/2018, cổ phiếu ART niêm yết trên Sở Giao dịch chứng khoán Hà Nội (HNX). Năm 2019, đổi tên thành Công ty cổ phần Chứng khoán BOS.",Tầng 25 Toà nhà văn phòng - 265 Cầu Giấy - P. Dịch Vọng - Q. Cầu Giấy - Tp. Hà Nội,https://bos.vn/
BAB,Ngân hàng TMCP Bắc Á,Tài chính và bảo hiểm,"Ngày 01/09/1994, Ngân hàng Thương mại Cổ phần Bắc Á được thành lập với vốn điều lệ ban đầu là 20 tỷ đồng. Ngân hàng hoạt động chủ yếu trong lĩnh vực huy động vốn và cho vay tín dụng. Khách hàng mục tiêu của ngân hàng là các doanh nghiệp hoạt động ở lĩnh vực ứng dụng công nghệ cao trong nông nghiệp, nông thôn và các ngành công nghiệp hỗ trợ cho ngành nông nghiệp. Trong năm 2012, ngân hàng Bắc Á tư vấn thành công cho dự án TH True Milk. BAB được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ tháng 03/2021.",Số 117 Quang Trung - P. Quang Trung - Tp. Vinh - T. Nghệ An,http://www.baca-bank.vn
BCC,CTCP Xi măng Bỉm Sơn,Sản xuất sản phẩm khoáng chất phi kim,"CTCP Xi măng Bỉm Sơn (BCC) được thành lập trong giai đoạn 1975 - 1980, tiền thân là Nhà máy Xi măng Bỉm Sơn. BCC là công ty con của Tập đoàn Xi măng Quốc gia Việt Nam (VICEM). Công ty sản xuất, nhập khẩu, xuất khẩu, kinh doanh xi măng, clinker và các vật liệu xây dựng khác (bê tông trộn sẵn, mô-đun bê tông đúc sẵn). BCC có tổng công suất sản xuất clinker đạt 3.1 triệu tấn/năm và tổng công suất nghiền xi măng đạt 4 tr...",Khu phố 7 - P. Ba Đình - Tx. Bỉm Sơn - T. Thanh Hóa,http://ximangbimson.com.vn
BII,CTCP Louis Land,Xây dựng và Bất động sản,"Công ty cổ phần Louis Land (Trước đây là CTCP Đầu tư và Phát triển Công nghiệp Bảo Thư) được thành lập ngày 29/05/2008. Năm 2014, chính thức niêm yết cổ phiếu trên Sở GDCK Hà Nội với mã chứng khoán là BII. Công ty tập trung vào ngành nghề kinh doanh cốt lõi là BĐS với 3 mảng chính là BĐS Công nghiệp, BĐS Dân dụng và BĐS Đô thị. BII liên kết với các công ty có công nghệ lõi giúp gia tăng giá trị BĐS (BĐS thông minh - smart living, thanh toán thông minh - smart payment, năng lượng xanh…).",Khu phố 11 - P. Bình Tân - TX. Lagi - T. Bình Thuận,https://louisland.vn
BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Sản xuất thực phẩm,"Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc (BNA) có tiền thân là Công ty cổ phần Đầu tư Sản xuất Bảo Ngọc Akito được thành lập năm 2012. BNA trở thành công ty đại chúng từ tháng 05/2018. Công ty hoạt động chính trong lĩnh vực sản xuất và kinh doanh bánh kẹo. Công ty hiện đang quản lý vận hành Nhà máy Bảo Ngọc Miền Bắc với diện tích 6,000m2, công suất 100,000 tấn sản phẩm/năm, Nhà máy Bảo Ngọc Miền Nam với diện tích 6,000m2, công suất 100,000 tấn sản phẩm/năm. BNA chính thức được niêm yết và giao dịch tại Sở Giao dịch Chứng khoán Hà Nội (HNX) từ cuối năm 2020.",Tòa nhà Bảo Ngọc - Lô A2 CN8 - Cụm Công nghiệp Từ Liêm - P. Phương Canh - Q. Nam Từ Liêm - Tp. Hà Nội,http://www.banhbaongoc.vn
BTS,CTCP Xi măng VICEM Bút Sơn,Sản xuất sản phẩm khoáng chất phi kim,"CTCP Xi măng VICEM Bút Sơn được thành lập năm 1997, tiền thân của công ty là Ban quản lí công trình xây dựng Nhà máy Xi măng Bút Sơn. Công ty xi măng Bút sơn có trang thiết bị tiên tiến hiện đại, đồng bộ cùng hệ thống kiểm tra, đo lường tín hiệu, điều khiển tự động hoá ở mức cao đảm bảo thiết bị hoạt động an toàn, ổn định và vệ sinh môi trường. Nhà máy đặt tại xã Thanh Sơn, huyện Kim Bảng, tỉnh Hà Nam, gần Quốc lộ 1, cách Hà Nội 60km về phía Nam, gần các sông Đáy, sông Châu, sông Nhuệ và đường sắt Bắc - Nam rất thuận tiện cho việc chuyên chở xi măng và nguyên nhiên liệu phục vụ sản xuất.",X. Thanh Sơn - H. Kim Bảng - T. Hà Nam,http://www.vicembutson.com.vn/
